"Name","Component","Side","Centre X","Centre Y","Rotation"
"IC5","1DDD388A-P02","Top","144","360","0.00"
"U2","3-PAD_2LEDS","Top","72","45","0.00"
"U3","4-PAD_LL","Top","234","85","180.00"
"C19","C0201_1u_6.3V","Top","342","624","180.00"
"C1","C0201_4.7u_6.3V","Bottom","387","639","270.00"
"C15","C0201_4.7u_6.3V","Bottom","39","540","0.00"
"C29","C0201_4.7u_6.3V","Bottom","38","254","0.00"
"C22","C0402_10u_6.3V","Top","24","276","0.00"
"C25","C0402_10u_6.3V","Bottom","264","628","90.00"
"C10","C0402_270P_25V","Top","24","435","180.00"
"C17","C0603_22u_6.3V","Top","372","405","90.00"
"C3","C01005_0.1u_6.3V","Bottom","30","357","270.00"
"C4","C01005_0.1u_6.3V","Bottom","425","615","0.00"
"C5","C01005_0.1u_6.3V","Bottom","455","615","0.00"
"C8","C01005_0.1u_6.3V","Top","159","486","0.00"
"C9","C01005_0.1u_6.3V","Top","132","486","180.00"
"C11","C01005_0.1u_6.3V","Top","102","486","0.00"
"C12","C01005_0.1u_6.3V","Top","195","530","0.00"
"C14","C01005_0.1u_6.3V","Bottom","60","614","0.00"
"C16","C01005_0.1u_6.3V","Bottom","30","614","0.00"
"C20","C01005_0.1u_6.3V","Top","363","630","180.00"
"C24","C01005_0.1u_6.3V","Top","21","167","270.00"
"C27","C01005_0.1u_6.3V","Bottom","246","605","90.00"
"C28","C01005_0.1u_6.3V","Bottom","38","307","270.00"
"C30","C01005_0.1u_6.3V","Bottom","38","286","270.00"
"C21","C01005_1n_10V","Top","384","630","180.00"
"C6","C01005_10n_6.3V","Top","27","366","0.00"
"C7","C01005_10n_6.3V","Top","267","375","90.00"
"C18","C01005_10n_6.3V","Top","456","609","90.00"
"C23","C01005_10n_6.3V","Top","21","190","270.00"
"C26","C01005_10n_6.3V","Bottom","282","601","90.00"
"REG01","CAT6219_3V3","Top","383","511","90.00"
"FERR01","FERR","Bottom","165","614","90.00"
"FERR02","FERR","Top","75","186","0.00"
"L8","L1007_220uH","Top","252","561","90.00"
"LED1","LED_GREEN_0201","Top","465","511","180.00"
"LED2","LED_ORANGE_0201","Top","41","124","180.00"
"IC1","LT3092ETS8TRMPBF","Bottom","143","57","0.00"
"IC2","LT3092ETS8TRMPBF","Bottom","327","57","0.00"
"IC3","LTC1663-1CS5#TRMPBF","Top","402","63","0.00"
"IC4","LTC1663-2CS5#TRMPBF","Top","192","183","0.00"
"IC6","LTC1663CS5#TRMPBF","Top","95","575","0.00"
"U1","MT9V022_52BGA","Bottom","245","415","0.00"
"Q1","NTK3134NT1G","Bottom","177","159","0.00"
"Q2","NTK3134NT1G","Bottom","273","159","0.00"
"CONN","OMNETICS_PNZ_12_VV_SMT","Top","377","244","0.00"
"R3","R0603_5.1_1/4","Bottom","30","89","0.00"
"R4","R0603_5.1_1/4","Bottom","435","54","0.00"
"R0","R01005_0_1/32W","Top","288","441","0.00"
"R6","R01005_1k_1/32W","Bottom","459","477","0.00"
"R7","R01005_1k_1/32W","Bottom","435","477","0.00"
"R8","R01005_1.5k_1/32W","Top","468","294","0.00"
"R9","R01005_1.5k_1/32W","Top","267","288","180.00"
"R5","R01005_10k_1/32W","Bottom","30","336","90.00"
"R12","R01005_10k_1/32W","Top","75","486","0.00"
"R11","R01005_33k_1/32W","Top","28","486","270.00"
"R1","R01005_220_1/32W","Top","465","471","180.00"
"R2","R01005_220_1/32W","Top","20","127","0.00"
